(35284, [[68, 264, 89, 275], 35, [13418, 447], [13841, 461]])
(35352, [[68, 265, 90, 273], 63, [13944, 465], [14071, 469]])
(35386, [[69, 265, 88, 275], 97, [14218, 474], [14413, 480]])
(35408, [[68, 265, 86, 274], 35, [14358, 479], [26738, 891]])
(35445, [[68, 265, 89, 274], 43, [14542, 485], [26738, 891]])
(35464, [[68, 265, 89, 275], 71, [14614, 487], [14885, 496]])
(35532, [[69, 265, 88, 273], 105, [14932, 498], [15151, 505]])
(35550, [[68, 265, 88, 274], 53, [15016, 501], [15341, 511]])
(35586, [[68, 265, 87, 274], 83, [15432, 514], [15633, 521]])
(35729, [[69, 265, 86, 274], 87, [16076, 536], [26738, 891]])
(35842, [[68, 265, 89, 274], 64, [16522, 551], [16689, 556]])
(35934, [[68, 265, 89, 274], 89, [16842, 561], [17023, 567]])
(35997, [[68, 265, 88, 274], 33, [17110, 570], [17793, 593]])
(36181, [[68, 265, 87, 275], 76, [17806, 594], [18023, 601]])
(36256, [[68, 265, 88, 274], 100, [18048, 602], [18267, 609]])
(36308, [[68, 265, 88, 273], 164, [18298, 610], [18773, 626]])
(36387, [[68, 265, 89, 274], 141, [18874, 629], [19601, 653]])
(36490, [[67, 265, 87, 274], 38, [19624, 654], [19803, 660]])
(36558, [[67, 264, 89, 274], 72, [19940, 665], [20099, 670]])
(36666, [[68, 265, 87, 275], 234, [20260, 675], [21013, 700]])
(36802, [[68, 265, 87, 274], 33, [21032, 701], [21129, 704]])
(36826, [[68, 265, 88, 274], 64, [21156, 705], [21285, 710]])
(36862, [[69, 265, 88, 274], 60, [21350, 712], [21725, 724]])
(36957, [[68, 265, 89, 274], 59, [21868, 729], [22003, 733]])
(37016, [[68, 265, 87, 274], 330, [22126, 738], [23031, 768]])
(37222, [[68, 265, 89, 272], 54, [23198, 773], [26738, 891]])
(37303, [[68, 265, 88, 273], 42, [23532, 784], [23673, 789]])
(37396, [[68, 265, 90, 274], 53, [23954, 798], [24079, 803]])
(37449, [[68, 265, 87, 273], 179, [24238, 808], [24597, 820]])
(37515, [[68, 265, 89, 274], 231, [24728, 824], [25233, 841]])
(37606, [[68, 265, 88, 275], 76, [25280, 843], [25433, 848]])
(37639, [[68, 265, 88, 274], 234, [25472, 849], [25973, 866]])
(37738, [[429, 257, 447, 265], 49, [26046, 868], [26738, 891]])
(37805, [[82, 235, 149, 263], 31, [26254, 875], [26317, 877]])
(37841, [[237, 303, 305, 332], 42, [26502, 883], [26738, 891]])

Start to end:1256.19
number of anomalies 35
