(11156, [[300, 102, 335, 122], 40, [70, 2], [1931, 64]])
(11374, [[309, 103, 333, 120], 117, [2512, 84], [2695, 90]])
(11375, [[277, 112, 301, 132], 38, [2518, 84], [2533, 84]])
(11570, [[583, 155, 614, 180], 174, [4820, 161], [26819, 894]])
(11667, [[566, 81, 586, 97], 48, [5840, 195], [5883, 196]])
(12043, [[583, 155, 615, 180], 145, [9958, 332], [26819, 894]])
(12333, [[584, 154, 614, 179], 65, [13240, 441], [26819, 894]])
(12360, [[337, 54, 357, 69], 35, [13386, 446], [26819, 894]])
(12458, [[335, 55, 355, 68], 99, [14582, 486], [26819, 894]])
(12488, [[584, 154, 613, 179], 468, [14902, 497], [26819, 894]])
(12628, [[335, 55, 354, 68], 109, [16122, 537], [26819, 894]])
(12666, [[334, 54, 356, 68], 111, [16764, 559], [16925, 564]])
(12740, [[583, 154, 614, 180], 400, [17372, 579], [26819, 894]])
(12898, [[335, 55, 355, 69], 39, [19224, 641], [19651, 655]])
(13002, [[334, 55, 355, 68], 83, [20318, 677], [20479, 683]])
(13044, [[336, 55, 357, 69], 37, [21096, 703], [26819, 894]])
(13189, [[337, 56, 356, 75], 38, [22390, 746], [22449, 748]])
(13208, [[336, 55, 354, 69], 65, [22602, 753], [26819, 894]])
(13275, [[326, 57, 345, 69], 68, [23996, 800], [26819, 894]])
(13393, [[327, 57, 344, 69], 76, [25584, 853], [26819, 894]])

Start to end:357.45
number of anomalies 20
